age, education-num, marital-status, relationship, race, hours-per-week, sex
39,13, Never-married, Not-in-family, White,40, Male
50,13, Married-civ-spouse, Husband, White,13, Male
38,9, Divorced, Not-in-family, White,40, Male
53,7, Married-civ-spouse, Husband, Black,40, Male
28,13, Married-civ-spouse, Wife, Black,40, Female
37,14, Married-civ-spouse, Wife, White,40, Female
49,5, Married-spouse-absent, Not-in-family, Black,16, Female
52,9, Married-civ-spouse, Husband, White,45, Male
31,14, Never-married, Not-in-family, White,50, Female
42,13, Married-civ-spouse, Husband, White,40, Male
37,10, Married-civ-spouse, Husband, Black,80, Male
30,13, Married-civ-spouse, Husband, Asian-Pac-Islander,40, Male
23,13, Never-married, Own-child, White,30, Female
32,12, Never-married, Not-in-family, Black,50, Male
40,11, Married-civ-spouse, Husband, Asian-Pac-Islander,40, Male
34,4, Married-civ-spouse, Husband, Amer-Indian-Eskimo,45, Male
25,9, Never-married, Own-child, White,35, Male
32,9, Never-married, Unmarried, White,40, Male
38,7, Married-civ-spouse, Husband, White,50, Male
43,14, Divorced, Unmarried, White,45, Female
40,16, Married-civ-spouse, Husband, White,60, Male
54,9, Separated, Unmarried, Black,20, Female
35,5, Married-civ-spouse, Husband, Black,40, Male
43,7, Married-civ-spouse, Husband, White,40, Male
59,9, Divorced, Unmarried, White,40, Female
56,13, Married-civ-spouse, Husband, White,40, Male
19,9, Never-married, Own-child, White,40, Male
54,10, Married-civ-spouse, Husband, Asian-Pac-Islander,60, Male
39,9, Divorced, Not-in-family, White,80, Male
49,9, Married-civ-spouse, Husband, White,40, Male
23,12, Never-married, Not-in-family, White,52, Male
20,10, Never-married, Own-child, Black,44, Male
45,13, Divorced, Own-child, White,40, Male
30,10, Married-civ-spouse, Own-child, White,40, Male
22,10, Married-civ-spouse, Husband, Black,15, Male
48,7, Never-married, Unmarried, White,40, Male
21,10, Never-married, Own-child, White,40, Male
19,9, Married-AF-spouse, Wife, White,25, Female
31,10, Married-civ-spouse, Husband, White,38, Male
48,12, Married-civ-spouse, Husband, White,40, Male
31,5, Married-civ-spouse, Husband, White,43, Male
53,13, Married-civ-spouse, Husband, White,40, Male
24,13, Married-civ-spouse, Husband, White,50, Male
49,9, Separated, Unmarried, White,40, Female
25,9, Never-married, Not-in-family, White,35, Male
57,13, Married-civ-spouse, Husband, Black,40, Male
53,9, Married-civ-spouse, Husband, White,38, Male
44,14, Divorced, Unmarried, White,40, Female
41,11, Married-civ-spouse, Husband, White,40, Male
29,11, Never-married, Not-in-family, White,43, Male
25,10, Married-civ-spouse, Wife, Other,40, Female
18,9, Never-married, Own-child, White,30, Female
47,15, Married-civ-spouse, Wife, White,60, Female
50,13, Divorced, Not-in-family, White,55, Male
47,9, Divorced, Not-in-family, White,60, Male
43,10, Married-civ-spouse, Husband, White,40, Male
46,3, Married-civ-spouse, Husband, White,40, Male
35,11, Married-civ-spouse, Husband, White,40, Male
41,9, Married-civ-spouse, Husband, White,48, Male
30,9, Married-civ-spouse, Husband, White,40, Male
30,13, Married-civ-spouse, Husband, White,40, Male
32,4, Married-spouse-absent, Not-in-family, White,40, Male
48,9, Married-civ-spouse, Husband, White,40, Male
42,16, Married-civ-spouse, Husband, White,45, Male
29,10, Divorced, Not-in-family, White,58, Male
36,9, Married-civ-spouse, Husband, White,40, Male
28,10, Divorced, Not-in-family, White,40, Female
53,9, Married-civ-spouse, Wife, White,40, Female
49,10, Married-civ-spouse, Husband, White,50, Male
25,10, Never-married, Own-child, White,40, Male
19,10, Never-married, Own-child, White,32, Male
31,13, Separated, Own-child, Black,40, Female
29,13, Married-civ-spouse, Husband, White,70, Male
23,10, Never-married, Not-in-family, White,40, Male
79,10, Married-civ-spouse, Other-relative, White,20, Male
27,9, Never-married, Own-child, White,40, Male
40,12, Married-civ-spouse, Husband, White,40, Male
67,6, Married-civ-spouse, Husband, White,2, Male
18,7, Never-married, Own-child, White,22, Female
31,4, Married-civ-spouse, Husband, White,40, Male
18,9, Never-married, Not-in-family, White,30, Male
52,13, Married-civ-spouse, Husband, White,40, Male
